name,price,strong
          Grant Menthol        ,"                    €4,45",Extra Stark
          Velo Sour Lime        ,"                    €5,45",Leicht
          Helwit Mocha #4        ,"                    €4,55",Extra Stark
          Ace X Nordic Freeze        ,"                    €4,99",Extra Stark
          Apres N°5 Ice Tea Peach MINI        ,"                    €3,99",Mittelstark
          Nor No.17 Frosta Mini        ,"                    €3,50",Mittelstark
          E-Geschenkkarte        ,"€10,00",
          Loop Spicy Apple Strong        ,"                    €5,10",Stärker
          VILD Kuling Double Mint        ,"                    €4,49",Stärker
          V&YOU Focus Mint Freeze        ,"                    €3,89",Stärker
          Chainpop Peppermint & Ice        ,"                    €4,59",Extra Stark
          Gritt Spearmint Extra Strong        ,"                    €4,99",Extra Stark
          Skruf Polar #3        ,"                    €5,29",Stärker
          Loop Hot Peach Strong        ,"                    €5,10",Stärker
          Apres N°10 Apres Spritz MINI        ,"                    €3,99",Mittelstark
          Ace X Spearmint        ,"                    €4,99",Extra Stark
          V&YOU Focus Mint        ,"                    €3,89",Mittelstark
          Loop Red Chili Hyper Strong        ,"                    €5,10",Stärker
          Chainpop Cherry & Chili        ,"                    €4,59",Extra Stark
          Loop Ice Cool Extra Strong        ,"                    €5,10",Stärker
          VILD Bris Mint        ,"                    €4,49",Mittelstark
          COCO Natural Mint        ,"                    €4,32",Extra Stark
          ACE X Honeydew Black Pepper        ,"                    €4,99",Extra Stark
          Ace X Double Mint        ,"                    €4,99",Extra Stark
          Baow Piña Colada        ,"                    €4,55",Extra Stark
          Gritt Spearmint        ,"                    €4,49",Extra Stark
          Apres N°4 Cola MINI        ,"                    €3,99",Mittelstark
          Loop Cassis Bliss Strong        ,"                    €5,10",Extra Stark
          Apres N°2 Mint MINI        ,"                    €3,99",Mittelstark
